Y_call	sample.id	length	ploidy	purity	min.segment	max.segment
Y_chrom_loss	TCGA-12-1089	23846379	2.52520342985837	0.828951648435733	2786962	26633341
intact_Y_chrom	TCGA-12-1092	23834850	2.09713786846296	0.602984138502241	2787000	26621850
intact_Y_chrom	TCGA-12-1600	23847624	1.95634555198376	0.857792221930356	2786976	26634600
intact_Y_chrom	TCGA-12-1602	23847688	3.24437723979214	0.76517604684607	2786962	26634650
intact_Y_chrom	TCGA-12-3649	23846400	2.03899280040929	0.735177651232727	2786950	26633350
intact_Y_chrom	TCGA-12-3650	23847143	2.08571944647993	0.849046588071554	2787533	26634676
Y_chrom_loss	TCGA-12-3651	23841197	2.329977723859	0.601590157072737	2787053	26628250
intact_Y_chrom	TCGA-12-3652	23847570	1.96822309648096	0.861450640123689	2787050	26634620
intact_Y_chrom	TCGA-12-5301	23846369	1.94413162839565	0.853462626098352	2786976	26633345
intact_Y_chrom	TCGA-14-0736	23846374	1.76089905345278	0.68860266365612	2786967	26633341
Y_chrom_loss	TCGA-14-0740	23841392	1.81939402244325	0.908316247289506	2786973	26628365
Y_chrom_loss	TCGA-14-0781	23847069	1.34505808534985	0.35050551257566	2787551	26634620
intact_Y_chrom	TCGA-14-0787	23847673	1.86316287470801	0.796588577895205	2787050	26634723
intact_Y_chrom	TCGA-14-0789	23845946	2.13066873492091	0.50588475701325	2787399	26633345
Y_chrom_loss	TCGA-14-0812	23847616	2.25198808143413	0.647659531816093	2786984	26634600
intact_Y_chrom	TCGA-14-0813	23847623	2.01675136662791	0.703295309129568	2787053	26634676
Y_chrom_loss	TCGA-14-0862	23841327	1.59595773445292	0.58067820926293	2786973	26628300
intact_Y_chrom	TCGA-14-0865	23834839	2.00094276251504	0.906156667896249	2786976	26621815
Y_chrom_loss	TCGA-14-0866	23847636	2.83165166022655	0.808765077159215	2787100	26634736
intact_Y_chrom	TCGA-14-0867	23846330	3.27181709716365	0.570889412008204	2787060	26633390
intact_Y_chrom	TCGA-14-1043	23841327	2.10752984711226	0.523398082469676	2786973	26628300
intact_Y_chrom	TCGA-14-1395	23841338	2.00327177323563	0.903113455123632	2786962	26628300
intact_Y_chrom	TCGA-14-1451	23834785	1.98896314811158	0.811156193628818	2787015	26621800
intact_Y_chrom	TCGA-14-1453	23617873	1.76492182082549	0.892377230100097	2787044	26621815
intact_Y_chrom	TCGA-14-1455	23847700	1.90121412585278	0.850089905900083	2786976	26634676
intact_Y_chrom	TCGA-14-1456	23847644	2.03434093444347	0.262965560472021	2786976	26634620
intact_Y_chrom	TCGA-14-1458	23834896	3.05112346586234	0.616782302947649	2786919	26621815
Y_chrom_loss	TCGA-14-1794	23847650	2.72604817830375	0.723971780584262	2787050	26634700
Y_chrom_loss	TCGA-14-1795	23847688	3.44453220740457	0.349952019757933	2786962	26634650
intact_Y_chrom	TCGA-14-1821	23807865	1.97526331040991	0.924575660415068	2787015	26594880
