"Gene"	"Match"	"number"	"ID"
"DDX3Y"	1	8	"RP/somatic/s_C_001244_T001_d__"
"UTY"	1	15	"RP/somatic/s_C_001244_T001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_001244_T001_d__"
"NLGN4Y"	1	8	"RP/somatic/s_C_001244_T001_d__"
"KDM5D"	1	22	"RP/somatic/s_C_001244_T001_d__"
"EIF1AY"	1	3	"RP/somatic/s_C_001244_T001_d__"
"RPS4Y2"	1	4	"RP/somatic/s_C_001244_T001_d__"
"CYorf17"	1	2	"RP/somatic/s_C_001244_T001_d__"
"SRY"	1	2	"RP/somatic/s_C_001244_T001_d__"
"RPS4Y1"	1	5	"RP/somatic/s_C_001244_T001_d__"
"ZFY"	1	10	"RP/somatic/s_C_001244_T001_d__"
"TGIF2LY"	1	2	"RP/somatic/s_C_001244_T001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_001244_T001_d__"
"AMELY"	1	2	"RP/somatic/s_C_001244_T001_d__"
"TBL1Y"	1	6	"RP/somatic/s_C_001244_T001_d__"
"FAM197Y1"	1	1	"RP/somatic/s_C_001247_T001_d__"
"USP9Y"	1	32	"RP/somatic/s_C_001247_T001_d__"
"DDX3Y"	1	8	"RP/somatic/s_C_001247_T001_d__"
"UTY"	1	20	"RP/somatic/s_C_001247_T001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_001247_T001_d__"
"NLGN4Y"	1	7	"RP/somatic/s_C_001247_T001_d__"
"KDM5D"	1	23	"RP/somatic/s_C_001247_T001_d__"
"EIF1AY"	1	4	"RP/somatic/s_C_001247_T001_d__"
"RPS4Y2"	1	4	"RP/somatic/s_C_001247_T001_d__"
"CYorf17"	1	2	"RP/somatic/s_C_001247_T001_d__"
"SRY"	1	3	"RP/somatic/s_C_001247_T001_d__"
"RPS4Y1"	1	5	"RP/somatic/s_C_001247_T001_d__"
"ZFY"	1	11	"RP/somatic/s_C_001247_T001_d__"
"TGIF2LY"	1	1	"RP/somatic/s_C_001247_T001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_001247_T001_d__"
"AMELY"	1	3	"RP/somatic/s_C_001247_T001_d__"
"TBL1Y"	1	6	"RP/somatic/s_C_001247_T001_d__"
"FAM197Y1"	1	2	"RP/somatic/s_C_001258_T001_d__"
"USP9Y"	1	29	"RP/somatic/s_C_001258_T001_d__"
"DDX3Y"	1	14	"RP/somatic/s_C_001258_T001_d__"
"UTY"	1	19	"RP/somatic/s_C_001258_T001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_001258_T001_d__"
"NLGN4Y"	1	9	"RP/somatic/s_C_001258_T001_d__"
"KDM5D"	1	26	"RP/somatic/s_C_001258_T001_d__"
"EIF1AY"	1	3	"RP/somatic/s_C_001258_T001_d__"
"RPS4Y2"	1	5	"RP/somatic/s_C_001258_T001_d__"
"CYorf17"	1	3	"RP/somatic/s_C_001258_T001_d__"
"SRY"	1	3	"RP/somatic/s_C_001258_T001_d__"
"RPS4Y1"	1	5	"RP/somatic/s_C_001258_T001_d__"
"ZFY"	1	12	"RP/somatic/s_C_001258_T001_d__"
"TGIF2LY"	1	2	"RP/somatic/s_C_001258_T001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_001258_T001_d__"
"AMELY"	1	4	"RP/somatic/s_C_001258_T001_d__"
"TBL1Y"	1	8	"RP/somatic/s_C_001258_T001_d__"
"FAM197Y1"	1	1	"RP/somatic/s_C_001269_T001_d__"
"USP9Y"	1	22	"RP/somatic/s_C_001269_T001_d__"
"DDX3Y"	1	11	"RP/somatic/s_C_001269_T001_d__"
"UTY"	1	17	"RP/somatic/s_C_001269_T001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_001269_T001_d__"
"NLGN4Y"	1	5	"RP/somatic/s_C_001269_T001_d__"
"KDM5D"	1	22	"RP/somatic/s_C_001269_T001_d__"
"EIF1AY"	1	3	"RP/somatic/s_C_001269_T001_d__"
"RPS4Y2"	1	2	"RP/somatic/s_C_001269_T001_d__"
"CYorf17"	1	2	"RP/somatic/s_C_001269_T001_d__"
"SRY"	1	3	"RP/somatic/s_C_001269_T001_d__"
"RPS4Y1"	1	4	"RP/somatic/s_C_001269_T001_d__"
"ZFY"	1	9	"RP/somatic/s_C_001269_T001_d__"
"TGIF2LY"	1	2	"RP/somatic/s_C_001269_T001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_001269_T001_d__"
"AMELY"	1	3	"RP/somatic/s_C_001269_T001_d__"
"TBL1Y"	1	6	"RP/somatic/s_C_001269_T001_d__"
"FAM197Y1"	1	1	"RP/somatic/s_C_001271_T001_d__"
"USP9Y"	1	29	"RP/somatic/s_C_001271_T001_d__"
"DDX3Y"	1	12	"RP/somatic/s_C_001271_T001_d__"
"UTY"	1	20	"RP/somatic/s_C_001271_T001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_001271_T001_d__"
"NLGN4Y"	1	8	"RP/somatic/s_C_001271_T001_d__"
"KDM5D"	1	28	"RP/somatic/s_C_001271_T001_d__"
"EIF1AY"	1	1	"RP/somatic/s_C_001271_T001_d__"
"RPS4Y2"	1	3	"RP/somatic/s_C_001271_T001_d__"
"CYorf17"	1	3	"RP/somatic/s_C_001271_T001_d__"
"SRY"	1	3	"RP/somatic/s_C_001271_T001_d__"
"RPS4Y1"	1	6	"RP/somatic/s_C_001271_T001_d__"
"ZFY"	1	10	"RP/somatic/s_C_001271_T001_d__"
"TGIF2LY"	1	2	"RP/somatic/s_C_001271_T001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_001271_T001_d__"
"AMELY"	1	3	"RP/somatic/s_C_001271_T001_d__"
"TBL1Y"	1	10	"RP/somatic/s_C_001271_T001_d__"
"USP9Y"	1	3	"RP/somatic/s_C_001273_T001_d__"
"DDX3Y"	1	3	"RP/somatic/s_C_001273_T001_d__"
"UTY"	1	6	"RP/somatic/s_C_001273_T001_d__"
"NLGN4Y"	1	3	"RP/somatic/s_C_001273_T001_d__"
"KDM5D"	1	10	"RP/somatic/s_C_001273_T001_d__"
"RPS4Y2"	1	1	"RP/somatic/s_C_001273_T001_d__"
"CYorf17"	1	2	"RP/somatic/s_C_001273_T001_d__"
"RPS4Y1"	1	1	"RP/somatic/s_C_001273_T001_d__"
"ZFY"	1	5	"RP/somatic/s_C_001273_T001_d__"
"TGIF2LY"	1	1	"RP/somatic/s_C_001273_T001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_001273_T001_d__"
"TBL1Y"	1	2	"RP/somatic/s_C_001273_T001_d__"
"FAM197Y1"	1	1	"RP/somatic/s_C_001274_T001_d__"
"USP9Y"	1	21	"RP/somatic/s_C_001274_T001_d__"
"DDX3Y"	1	9	"RP/somatic/s_C_001274_T001_d__"
"UTY"	1	16	"RP/somatic/s_C_001274_T001_d__"
"TMSB4Y"	1	1	"RP/somatic/s_C_001274_T001_d__"
"NLGN4Y"	1	7	"RP/somatic/s_C_001274_T001_d__"
"KDM5D"	1	20	"RP/somatic/s_C_001274_T001_d__"
"EIF1AY"	1	1	"RP/somatic/s_C_001274_T001_d__"
"RPS4Y2"	1	1	"RP/somatic/s_C_001274_T001_d__"
"CYorf17"	1	2	"RP/somatic/s_C_001274_T001_d__"
"SRY"	1	2	"RP/somatic/s_C_001274_T001_d__"
"RPS4Y1"	1	4	"RP/somatic/s_C_001274_T001_d__"
"ZFY"	1	10	"RP/somatic/s_C_001274_T001_d__"
"TGIF2LY"	1	1	"RP/somatic/s_C_001274_T001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_001274_T001_d__"
"AMELY"	1	2	"RP/somatic/s_C_001274_T001_d__"
"TBL1Y"	1	4	"RP/somatic/s_C_001274_T001_d__"
"FAM197Y1"	1	1	"RP/somatic/s_C_001275_T001_d__"
"USP9Y"	1	33	"RP/somatic/s_C_001275_T001_d__"
"DDX3Y"	1	12	"RP/somatic/s_C_001275_T001_d__"
"UTY"	1	21	"RP/somatic/s_C_001275_T001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_001275_T001_d__"
"NLGN4Y"	1	7	"RP/somatic/s_C_001275_T001_d__"
"KDM5D"	1	24	"RP/somatic/s_C_001275_T001_d__"
"EIF1AY"	1	3	"RP/somatic/s_C_001275_T001_d__"
"RPS4Y2"	1	3	"RP/somatic/s_C_001275_T001_d__"
"CYorf17"	1	2	"RP/somatic/s_C_001275_T001_d__"
"SRY"	1	3	"RP/somatic/s_C_001275_T001_d__"
"RPS4Y1"	1	5	"RP/somatic/s_C_001275_T001_d__"
"ZFY"	1	12	"RP/somatic/s_C_001275_T001_d__"
"TGIF2LY"	1	1	"RP/somatic/s_C_001275_T001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_001275_T001_d__"
"AMELY"	1	3	"RP/somatic/s_C_001275_T001_d__"
"TBL1Y"	1	7	"RP/somatic/s_C_001275_T001_d__"
"FAM197Y1"	1	1	"RP/somatic/s_C_001902_T001_d__"
"USP9Y"	1	25	"RP/somatic/s_C_001902_T001_d__"
"DDX3Y"	1	11	"RP/somatic/s_C_001902_T001_d__"
"UTY"	1	21	"RP/somatic/s_C_001902_T001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_001902_T001_d__"
"NLGN4Y"	1	8	"RP/somatic/s_C_001902_T001_d__"
"KDM5D"	1	25	"RP/somatic/s_C_001902_T001_d__"
"EIF1AY"	1	3	"RP/somatic/s_C_001902_T001_d__"
"RPS4Y2"	1	3	"RP/somatic/s_C_001902_T001_d__"
"CYorf17"	1	3	"RP/somatic/s_C_001902_T001_d__"
"SRY"	1	3	"RP/somatic/s_C_001902_T001_d__"
"RPS4Y1"	1	5	"RP/somatic/s_C_001902_T001_d__"
"ZFY"	1	10	"RP/somatic/s_C_001902_T001_d__"
"TGIF2LY"	1	2	"RP/somatic/s_C_001902_T001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_001902_T001_d__"
"AMELY"	1	3	"RP/somatic/s_C_001902_T001_d__"
"TBL1Y"	1	10	"RP/somatic/s_C_001902_T001_d__"
"FAM197Y1"	1	1	"RP/somatic/s_C_001903_T001_d__"
"USP9Y"	1	25	"RP/somatic/s_C_001903_T001_d__"
"DDX3Y"	1	7	"RP/somatic/s_C_001903_T001_d__"
"UTY"	1	20	"RP/somatic/s_C_001903_T001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_001903_T001_d__"
"NLGN4Y"	1	7	"RP/somatic/s_C_001903_T001_d__"
"KDM5D"	1	22	"RP/somatic/s_C_001903_T001_d__"
"EIF1AY"	1	3	"RP/somatic/s_C_001903_T001_d__"
"RPS4Y2"	1	4	"RP/somatic/s_C_001903_T001_d__"
"CYorf17"	1	3	"RP/somatic/s_C_001903_T001_d__"
"SRY"	1	3	"RP/somatic/s_C_001903_T001_d__"
"RPS4Y1"	1	4	"RP/somatic/s_C_001903_T001_d__"
"ZFY"	1	8	"RP/somatic/s_C_001903_T001_d__"
"TGIF2LY"	1	2	"RP/somatic/s_C_001903_T001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_001903_T001_d__"
"AMELY"	1	3	"RP/somatic/s_C_001903_T001_d__"
"TBL1Y"	1	8	"RP/somatic/s_C_001903_T001_d__"
"USP9Y"	1	18	"RP/somatic/s_C_001907_T001_d__"
"DDX3Y"	1	8	"RP/somatic/s_C_001907_T001_d__"
"UTY"	1	15	"RP/somatic/s_C_001907_T001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_001907_T001_d__"
"NLGN4Y"	1	6	"RP/somatic/s_C_001907_T001_d__"
"KDM5D"	1	23	"RP/somatic/s_C_001907_T001_d__"
"EIF1AY"	1	3	"RP/somatic/s_C_001907_T001_d__"
