"sample"	"mutations"	"cnas_oncokb"	"cnas_all"
"P-0043619-T01-IM6"	89	0	453
"P-0043670-T01-IM6"	42	0	451
"P-0043694-T01-IM6"	5	9	394
"P-0043713-T01-IM6"	4	5	426
"P-0043875-T01-IM6"	3	0	440
"P-0043932-T01-IM6"	6	0	445
"P-0043994-T01-IM6"	7	7	419
"P-0044010-T01-IM6"	8	1	441
"P-0044018-T01-IM6"	4	0	425
"P-0044297-T01-IM6"	57	0	454
"P-0044373-T01-IM6"	2	0	454
"P-0044494-T01-IM6"	2	5	414
"P-0044499-T01-IM6"	8	3	425
"P-0044803-T01-IM6"	7	4	439
"P-0044966-T01-IM6"	4	0	385
"P-0045040-T01-IM6"	6	3	320
"P-0045101-T01-IM6"	8	6	364
"P-0045361-T01-IM6"	8	0	435
"P-0045508-T01-IM6"	3	4	355
"P-0045709-T01-IM6"	2	5	450
"P-0045731-T01-IM6"	3	8	417
"P-0045941-T02-IM6"	9	8	425
"P-0045954-T01-IM6"	15	3	443
"P-0046009-T01-IM6"	7	5	437
"P-0046063-T01-IM6"	6	0	450
"P-0046195-T01-IM6"	10	12	423
"P-0046201-T01-IM6"	6	17	415
"P-0046278-T01-IM6"	7	13	404
"P-0046364-T01-IM6"	1	11	420
"P-0046451-T01-IM6"	13	8	431
"P-0046464-T01-IM6"	7	5	420
"P-0046535-T01-IM6"	4	1	448
"P-0046610-T01-IM6"	3	9	424
"P-0046796-T01-IM6"	1	4	432
"P-0046836-T01-IM6"	7	4	418
"P-0046880-T01-IM6"	4	0	401
"P-0046885-T01-IM6"	0	0	453
"P-0046990-T01-IM6"	9	7	437
"P-0047317-T01-IM6"	1	0	437
"P-0047323-T01-IM6"	1	0	455
"P-0047495-T01-IM6"	5	8	391
"P-0047544-T01-IM6"	4	5	329
"P-0047612-T01-IM6"	4	8	428
"P-0047737-T01-IM6"	9	2	425
"P-0047744-T01-IM6"	9	0	433
"P-0047889-T01-IM6"	10	1	454
"P-0047892-T01-IM6"	5	10	415
"P-0048084-T01-IM6"	41	0	450
"P-0048109-T01-IM6"	6	3	424
"P-0048231-T01-IM6"	3	2	400
"P-0048292-T01-IM6"	5	3	383
"P-0048353-T01-IM6"	8	4	436
"P-0048541-T01-IM6"	6	4	408
"P-0048787-T01-IM6"	1	0	430
"P-0048895-T01-IM6"	6	1	445
"P-0048954-T01-IM6"	7	3	435
"P-0049041-T01-IM6"	5	2	444
"P-0049050-T01-IM6"	9	0	424
"P-0049131-T02-IM6"	65	0	451
"P-0049222-T01-IM6"	149	0	452
"P-0049379-T01-IM6"	6	2	444
"P-0049499-T01-IM6"	4	3	443
"P-0049675-T01-IM6"	4	2	417
"P-0049846-T01-IM6"	7	12	418
"P-0049847-T01-IM6"	5	11	417
"P-0049929-T01-IM6"	7	9	372
"P-0049930-T01-IM6"	4	3	423
"P-0049933-T01-IM6"	5	0	417
"P-0049941-T01-IM6"	3	2	441
"P-0049942-T01-IM6"	3	4	416
"P-0050244-T01-IM6"	5	4	416
"P-0050544-T01-IM6"	2	3	436
"P-0050549-T01-IM6"	13	5	416
"P-0050948-T01-IM6"	5	2	432
"P-0050977-T01-IM6"	67	0	434
"P-0051258-T01-IM6"	3	3	442
"P-0051259-T01-IM6"	9	0	454
"P-0051309-T01-IM6"	4	1	452
"P-0051332-T01-IM6"	3	0	433
"P-0051410-T01-IM6"	23	0	417
"P-0051436-T01-IM6"	41	0	453
"P-0051485-T01-IM6"	6	3	407
"P-0051507-T01-IM6"	5	3	444
"P-0051570-T01-IM6"	4	0	435
"P-0051576-T01-IM6"	5	6	429
"P-0051776-T01-IM6"	4	8	422
"P-0051925-T01-IM6"	3	4	436
"P-0051976-T01-IM6"	11	2	453
"P-0052087-T01-IM6"	5	4	392
"P-0052245-T01-IM6"	4	8	400
"P-0052259-T01-IM6"	7	9	422
"P-0052273-T01-IM6"	4	2	421
"P-0052348-T01-IM6"	5	7	432
"P-0052355-T01-IM6"	9	5	404
"P-0052486-T01-IM6"	3	7	433
"P-0052661-T01-IM6"	9	0	443
"P-0052831-T01-IM6"	10	4	407
"P-0052884-T01-IM6"	6	0	429
"P-0052993-T01-IM6"	8	0	425
"P-0053173-T01-IM6"	5	5	382
"P-0053188-T01-IM6"	21	0	442
"P-0053346-T01-IM6"	5	3	428
"P-0053381-T01-IM6"	36	0	441
"P-0053431-T01-IM6"	2	1	449
"P-0053475-T01-IM6"	20	2	395
"P-0053597-T01-IM6"	7	9	435
"P-0053748-T01-IM6"	72	0	434
"P-0053762-T01-IM6"	9	3	415
"P-0053909-T01-IM6"	36	0	455
"P-0053952-T01-IM6"	11	9	414
"P-0054011-T01-IM6"	8	7	377
"P-0054013-T01-IM6"	6	1	452
"P-0054060-T01-IM6"	5	19	400
"P-0054091-T01-IM6"	17	8	441
"P-0054175-T01-IM6"	13	12	410
"P-0054226-T01-IM6"	44	0	455
"P-0054336-T01-IM6"	3	0	399
"P-0054339-T01-IM6"	5	9	414
"P-0054409-T01-IM6"	3	0	429
"P-0054470-T01-IM6"	7	7	398
"P-0054616-T01-IM6"	51	0	448
"P-0054753-T01-IM6"	5	9	429
"P-0054891-T01-IM6"	5	0	431
"P-0055040-T01-IM6"	10	16	434
"P-0055130-T01-IM6"	8	9	383
"P-0055263-T01-IM6"	8	6	414
"P-0055271-T01-IM6"	1	4	445
"P-0055455-T01-IM6"	52	0	450
"P-0055686-T01-IM6"	49	1	454
"P-0056084-T01-IM6"	77	4	448
"P-0056140-T01-IM6"	6	0	454
"P-0056237-T01-IM6"	3	0	449
"P-0056307-T01-IM6"	8	0	415
"P-0056399-T01-IM6"	4	6	422
"P-0056449-T01-IM6"	4	10	421
"P-0056528-T01-IM6"	7	6	395
"P-0056688-T01-IM6"	3	1	446
"P-0056783-T01-IM6"	5	4	402
"P-0056859-T01-IM6"	4	3	422
"P-0057013-T01-IM6"	12	1	395
"P-0057024-T01-IM6"	8	2	430
"P-0057068-T02-IM6"	92	0	450
"P-0057456-T01-IM6"	4	4	425
"P-0057477-T01-IM6"	6	0	451
"P-0057508-T01-IM6"	4	2	413
"P-0057534-T01-IM6"	8	24	370
"P-0057594-T01-IM6"	10	0	431
"P-0057725-T01-IM6"	6	14	371
"P-0057730-T01-IM6"	4	4	447
"P-0057748-T01-IM6"	3	1	433
